,month,metric_total,topic_id,metric
4,2019_08_01,3.0,1,total_buyers
5,2019_09_01,2.0,1,total_buyers
6,2019_11_01,55.0,1,total_buyers
7,2019_12_01,98.0,1,total_buyers
8,2020_01_01,106.0,1,total_buyers
9,2020_02_01,21.0,1,total_buyers
10,2020_03_01,272.0,1,total_buyers
11,2020_04_01,498.0,1,total_buyers
12,2020_05_01,705.0,1,total_buyers
13,2020_06_01,1382.0,1,total_buyers
14,2020_07_01,1613.0,1,total_buyers
15,2020_08_01,1410.0,1,total_buyers
16,2020_09_01,740.0,1,total_buyers
17,2020_10_01,637.0,1,total_buyers
18,2020_11_01,666.0,1,total_buyers
19,2020_12_01,35.0,1,total_buyers
20,,7.0,1,total_buyers
0,2019_02_01,189.0,1,bookings
1,2019_03_01,42.0,1,bookings
2,2019_04_01,195.0,1,bookings
3,2019_05_01,285.0,1,bookings
4,2019_08_01,57.0,1,bookings
5,2019_09_01,42.0,1,bookings
6,2019_11_01,900.0,1,bookings
7,2019_12_01,1428.0,1,bookings
8,2020_01_01,1666.0,1,bookings
9,2020_02_01,347.0,1,bookings
10,2020_03_01,5636.0,1,bookings
11,2020_04_01,11555.0,1,bookings
12,2020_05_01,14707.0,1,bookings
13,2020_06_01,29077.0,1,bookings
14,2020_07_01,35666.0,1,bookings
15,2020_08_01,31213.0,1,bookings
16,2020_09_01,17540.0,1,bookings
17,2020_10_01,15442.0,1,bookings
18,2020_11_01,16244.0,1,bookings
19,2020_12_01,1105.0,1,bookings
20,,,1,bookings
0,2019_01_01,1.0,1,activities_created
1,2019_02_01,1.0,1,activities_created
2,2019_03_01,1.0,1,activities_created
3,2019_05_01,1.0,1,activities_created
4,2019_09_01,1.0,1,activities_created
5,2019_10_01,1.0,1,activities_created
6,2020_01_01,2.0,1,activities_created
7,2020_02_01,3.0,1,activities_created
8,2020_03_01,14.0,1,activities_created
9,2020_04_01,37.0,1,activities_created
10,2020_05_01,57.0,1,activities_created
11,2020_06_01,76.0,1,activities_created
12,2020_07_01,117.0,1,activities_created
13,2020_08_01,96.0,1,activities_created
14,2020_09_01,70.0,1,activities_created
15,2020_10_01,12.0,1,activities_created
16,2020_11_01,7.0,1,activities_created
0,2019_02_01,1.0,1,total_sellers
1,2019_03_01,1.0,1,total_sellers
2,2019_04_01,1.0,1,total_sellers
3,2019_05_01,1.0,1,total_sellers
4,2019_08_01,2.0,1,total_sellers
5,2019_09_01,1.0,1,total_sellers
6,2019_11_01,2.0,1,total_sellers
7,2019_12_01,1.0,1,total_sellers
8,2020_01_01,4.0,1,total_sellers
9,2020_02_01,4.0,1,total_sellers
10,2020_03_01,10.0,1,total_sellers
11,2020_04_01,30.0,1,total_sellers
12,2020_05_01,51.0,1,total_sellers
13,2020_06_01,81.0,1,total_sellers
14,2020_07_01,95.0,1,total_sellers
15,2020_08_01,118.0,1,total_sellers
16,2020_09_01,100.0,1,total_sellers
17,2020_10_01,81.0,1,total_sellers
18,2020_11_01,74.0,1,total_sellers
19,2020_12_01,19.0,1,total_sellers
20,,233.0,1,total_sellers
0,2019-01-01,150.0,2,total_enrollments
1,2019-02-01,161.0,2,total_enrollments
2,2019-03-01,250.0,2,total_enrollments
3,2019-04-01,210.0,2,total_enrollments
4,2019-05-01,101.0,2,total_enrollments
5,2019-06-01,43.0,2,total_enrollments
6,2019-07-01,95.0,2,total_enrollments
7,2019-08-01,199.0,2,total_enrollments
8,2019-09-01,187.0,2,total_enrollments
9,2019-10-01,199.0,2,total_enrollments
10,2019-11-01,151.0,2,total_enrollments
11,2019-12-01,163.0,2,total_enrollments
12,2020-01-01,389.0,2,total_enrollments
